,Season,Home Team,Home Score,-,Away Score,Away Team
422,2019/20,Kingfisher 1,,-,,Bec 1
423,2019/20,Nomads 1,,-,,Cambridge Tigers 1
424,2019/20,Highbury 1,,-,,Trojans 1
425,2019/20,Norwich Knights 1,,-,,Trojans 1
426,2019/20,Tornadoes 1,,-,,Bec 1
427,2019/20,Kingfisher 1,,-,,Nomads 1
428,2019/20,KV 1,,-,,Bristol Thunder 1
429,2019/20,Cambridge Tigers 1,,-,,Trojans 1
430,2019/20,Bristol Thunder 1,,-,,Highbury 1
431,2019/20,Bec 1,,-,,Nomads 1
432,2019/20,Norwich Knights 1,,-,,Kingfisher 1
433,2019/20,Cambridge Tigers 1,,-,,Tornadoes 1
434,2019/20,Highbury 1,,-,,Kingfisher 1
435,2019/20,Bec 1,,-,,Tornadoes 1
436,2019/20,Norwich Knights 1,,-,,Highbury 1
437,2019/20,Trojans 1,,-,,KV 1
